id,name,ra,dec,mag,dist_ly,spect,con
32263,Sirius,6.752481,-16.716116,-1.44,8.6,A0m...,CMa
30365,Canopus,6.399195,-52.69566,-0.62,309.2,F0Ib,Car
69451,Arcturus,14.26103,19.18241,-0.05,36.7,K2IIIp,Boo
71456,Rigil Kentaurus,14.660765,-60.833976,-0.01,4.3,G2V,Cen
90979,Vega,18.61564,38.783692,0.03,25.0,A0Vvar,Lyr
24549,Capella,5.27815,45.997991,0.08,42.8,M1: comp,Aur
24378,Rigel,5.242298,-8.20164,0.18,862.8,B8Ia,Ori
37173,Procyon,7.655033,5.224993,0.40,11.5,F5IV-V,CMi
7574,Achernar,1.628556,-57.236757,0.45,139.4,B3Vp,Eri
27919,Betelgeuse,5.919529,7.407063,0.45,497.9,M2Ib,Ori
68483,Hadar,14.063729,-60.373039,0.61,392.0,B1III,Cen
97338,Altair,19.846388,8.868322,0.76,16.7,A7IV-V,Aql
60530,Acrux,12.443311,-63.099092,0.77,322.0,B0.5IV,Cru
21368,Aldebaran,4.598677,16.509301,0.87,66.6,K5III,Tau
118360,HYG 118360,5.277926,46.000842,0.96,42.2,G0 III,Aur
65269,Spica,13.419883,-11.161322,0.98,249.7,B1V,Vir
80519,Antares,16.490128,-26.432002,1.06,553.7,M1Ib + B2.5V,Sco
37718,Pollux,7.755277,28.026199,1.16,33.8,K0IIIvar,Gem
113008,Fomalhaut,22.960838,-29.622236,1.17,25.1,A3V,PsA
62239,Mimosa,12.795359,-59.688764,1.25,278.5,B0.5III,Cru
101767,Deneb,20.690532,45.280338,1.25,1411.9,A2Ia,Cyg
71453,Toliman,14.660346,-60.8383,1.35,4.3,K1V,Cen
49528,Regulus,10.139532,11.967207,1.36,79.3,B7V,Leo
33492,Adhara,6.977097,-28.972084,1.50,405.2,B2II,CMa
36744,Castor,7.576634,31.888276,1.58,50.9,A2Vm,Gem
60893,Gacrux,12.519429,-57.113212,1.59,88.6,M4III,Cru
85665,Shaula,17.560145,-37.103821,1.62,571.2,B1.5IV+...,Sco
25273,Bellatrix,5.418851,6.349702,1.64,252.4,B2III,Ori
25364,Elnath,5.438198,28.60745,1.65,133.9,B7III,Tau
45106,Miaplacidus,9.220041,-69.717208,1.67,113.2,A2IV,Car
26246,Alnilam,5.603559,-1.20192,1.69,1976.7,B0Ia,Ori
108922,Alnair,22.137209,-46.960975,1.73,101.0,B7IV,Gru
26662,Alnitak,5.679313,-1.942572,1.74,736.2,O9.5Ib SB,Ori
39840,γ Vel,8.158876,-47.336588,1.75,1117.0,WC8 + O9I,Vel
62757,Alioth,12.900472,55.959821,1.76,82.6,A0p,UMa
15824,Mirfak,3.405378,49.86118,1.79,506.5,F5Ib,Per
89906,Kaus Australis,18.402868,-34.384616,1.79,143.3,B9.5III,Sgr
53905,Dubhe,11.062155,61.751033,1.81,122.9,F7V comp,UMa
34354,Wezen,7.139857,-26.3932,1.83,1606.7,F8Ia,CMa
67088,Alkaid,13.792354,49.313265,1.85,103.9,B3V SB,UMa
40921,Avior,8.375236,-59.509483,1.86,605.1,K3III+B2V,Car
85965,Sargas,17.62198,-42.997824,1.86,300.3,F1II,Sco
28288,Menkalinan,5.992149,44.947433,1.90,81.1,A2V,Aur
82022,Atria,16.811077,-69.027715,1.91,390.6,K2IIb-IIIa,TrA
31601,Alhena,6.628528,16.399252,1.93,109.3,A0IV,Gem
42794,Alsephina,8.745059,-54.708821,1.93,80.6,A1V,Vel
100425,Peacock,20.427459,-56.73509,1.94,178.8,B2IV,Pav
11734,Polaris,2.52975,89.264109,1.97,432.6,F7:Ib-IIv SB,UMi
30251,Mirzam,6.378329,-17.955918,1.98,492.7,B1II/III,CMa
46259,Alphard,9.45979,-8.658603,1.99,180.3,K3III,Hya
9861,Hamal,2.119555,23.462423,2.01,65.8,K2III,Ari
50440,Algieba,10.332873,19.841489,2.01,130.1,K0III,Leo
3413,Diphda,0.72649,-17.986605,2.04,96.3,K0III,Cet
92564,Nunki,18.92109,-26.296722,2.05,227.8,B2.5V,Sgr
68714,Menkent,14.111395,-36.369954,2.06,58.8,K0IIIb,Cen
676,Alpheratz,0.139791,29.090432,2.07,97.0,B9p,And
5436,Mirach,1.162194,35.620558,2.07,197.4,M0IIIvar,And
27298,Saiph,5.795941,-9.669605,2.07,647.1,B0.5Iavar,Ori
72380,Kochab,14.845105,74.155505,2.07,130.9,K4IIIvar,UMi
111768,Tiaki,22.711115,-46.884577,2.07,177.0,M5III,Gru
85769,Rasalhague,17.582241,12.560035,2.08,48.6,A5III,Oph
14540,Algol,3.136148,40.955648,2.09,89.9,B8V,Per
9618,Almach,2.064984,42.329725,2.10,393.0,B8V,And
57459,Denebola,11.817663,14.57206,2.14,35.9,A3Vvar,Leo
4417,Tiansi,0.945143,60.71674,2.15,549.1,B0IV:evar,Cas
61739,γ Cen,12.691971,-48.959888,2.20,130.2,A1IV,Cen
